iShares MSCI ACWI ETF
Fund Holdings as of,"Sep 21, 2026"
Inception Date,"Mar 26, 2008"
Shares Outstanding,"206,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"IBM","INTERNATIONAL BUSINESS MACHINES","Information Technology","Equity","69,383,019.15","0.21","69,383,019.15","299,155.00","231.93","United States","NYSE","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","67,782,285.00","0.20","67,782,285.00","148,158.00","457.50","United States","NASDAQ","USD","1.00","USD","-"
"SAP","SAP","Information Technology","Equity","67,765,133.57","0.20","67,765,133.57","323,006.00","209.80","Germany","Xetra","USD","0.87","EUR","-"
"AMGN","AMGEN INC","Health Care","Equity","67,524,443.68","0.20","67,524,443.68","171,748.00","393.16","United States","NASDAQ","USD","1.00","USD","-"
"SAN","BANCO SANTANDER","Financials","Equity","67,191,949.35","0.20","67,191,949.35","4,596,961.00","14.62","Spain","Bolsa De Madrid","USD","0.87","EUR","-"
"TD","TORONTO DOMINION","Financials","Equity","65,667,421.74","0.20","65,667,421.74","528,602.00","124.23","Canada","Toronto Stock Exchange","USD","1.40","CAD","-"
"QCOM","QUALCOMM","Information Technology","Equity","65,402,096.75","0.20","65,402,096.75","336,725.00","194.23","United States","NASDAQ","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","63,337,015.36","0.19","63,337,015.36","1,328,377.00","47.68","United States","NYSE","USD","1.00","USD","-"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","63,201,338.40","0.19","63,201,338.40","782,970.00","80.72","United States","NYSE","USD","1.00","USD","-"
"STX","SEAGATE TECHNOLOGY HOLDINGS PLC","Information Technology","Equity","61,918,966.53","0.19","61,918,966.53","70,577.00","877.33","United States","NASDAQ","USD","1.00","USD","-"
"ALV","ALLIANZ","Financials","Equity","61,479,767.59","0.18","61,479,767.59","120,392.00","510.66","Germany","Xetra","USD","0.87","EUR","-"
"CRM","SALESFORCE","Information Technology","Equity","60,074,085.58","0.18","60,074,085.58","254,099.00","236.42","United States","NYSE","USD","1.00","USD","-"
"ADI","ANALOG DEVICES","Information Technology","Equity","59,498,284.00","0.18","59,498,284.00","155,348.00","383.00","United States","NASDAQ","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES","Health Care","Equity","59,291,883.04","0.18","59,291,883.04","393,809.00","150.56","United States","NASDAQ","USD","1.00","USD","-"
"SU","SCHNEIDER ELECTRIC","Industrials","Equity","58,593,746.83","0.18","58,593,746.83","173,122.00","338.45","France","Nyse Euronext - Euronext Paris","USD","0.87","EUR","-"
"CBA","COMMONWEALTH BANK OF AUSTRALIA","Financials","Equity","57,968,145.72","0.17","57,968,145.72","531,717.00","109.02","Australia","Asx - All Markets","USD","1.40","AUD","-"
"7203","TOYOTA MOTOR","Consumer Discretionary","Equity","57,858,707.73","0.17","57,858,707.73","3,012,000.00","19.21","Japan","Tokyo Stock Exchange","USD","157.48","JPY","-"
"DIS","WALT DISNEY","Communication","Equity","57,513,175.93","0.17","57,513,175.93","551,791.00","104.23","United States","NYSE","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","56,849,388.14","0.17","56,849,388.14","552,043.00","102.98","United States","NYSE","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB","Financials","Equity","56,490,141.44","0.17","56,490,141.44","528,538.00","106.88","United States","NYSE","USD","1.00","USD","-"
"PEP","PEPSICO","Consumer Staples","Equity","56,435,278.69","0.17","56,435,278.69","435,491.00","129.59","United States","NASDAQ","USD","1.00","USD","-"
"T","AT&T","Communication","Equity","56,371,215.55","0.17","56,371,215.55","2,214,979.00","25.45","United States","NYSE","USD","1.00","USD","-"
"TTE","TOTALENERGIES","Energy","Equity","56,113,319.38","0.17","56,113,319.38","622,569.00","90.13","France","Nyse Euronext - Euronext Paris","USD","0.87","EUR","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","56,005,759.32","0.17","56,005,759.32","225,939.00","247.88","United States","NYSE","USD","1.00","USD","-"
"DELL","DELL TECHNOLOGIES INC CLASS C","Information Technology","Equity","55,300,523.13","0.17","55,300,523.13","96,123.00","575.31","United States","NYSE","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","53,853,982.40","0.16","53,853,982.40","123,680.00","435.43","United States","NYSE","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","53,375,388.23","0.16","53,375,388.23","77,951.00","684.73","United States","NYSE","USD","1.00","USD","-"
"SHOP","SHOPIFY SUBORDINATE VOTING CLASS A","Information Technology","Equity","53,272,398.84","0.16","53,272,398.84","386,072.00","137.99","Canada","Toronto Stock Exchange","USD","1.40","CAD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","53,003,608.98","0.16","53,003,608.98","169,022.00","313.59","United States","NYSE","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY","Utilities","Equity","52,826,303.11","0.16","52,826,303.11","663,397.00","79.63","United States","NYSE","USD","1.00","USD","-"
"RR.","ROLLS-ROYCE HOLDINGS PLC","Industrials","Equity","52,577,058.89","0.16","52,577,058.89","2,612,597.00","20.12","United Kingdom","London Stock Exchange","USD","0.75","GBP","-"
"BBVA","BANCO BILBAO VIZCAYA ARGENTARIA SA","Financials","Equity","52,144,004.26","0.16","52,144,004.26","1,807,130.00","28.85","Spain","Bolsa De Madrid","USD","0.87","EUR","-"
"WELL","WELLTOWER","Real Estate","Equity","52,103,791.52","0.16","52,103,791.52","223,852.00","232.76","United States","NYSE","USD","1.00","USD","-"
"BLK","BLACKROCK","Financials","Equity","51,082,420.31","0.15","51,082,420.31","46,853.00","1,090.27","United States","NYSE","USD","1.00","USD","-"
"UNP","UNION PACIFIC","Industrials","Equity","50,839,275.76","0.15","50,839,275.76","188,552.00","269.63","United States","NYSE","USD","1.00","USD","-"
"UBSG","UBS GROUP AG","Financials","Equity","50,728,309.78","0.15","50,728,309.78","997,434.00","50.86","Switzerland","SIX Swiss Exchange","USD","0.82","CHF","-"
"8316","SUMITOMO MITSUI FINANCIAL GROUP","Financials","Equity","50,237,745.67","0.15","50,237,745.67","1,158,300.00","43.37","Japan","Tokyo Stock Exchange","USD","157.48","JPY","-"
"PFE","PFIZER","Health Care","Equity","50,034,582.52","0.15","50,034,582.52","1,803,698.00","27.74","United States","NYSE","USD","1.00","USD","-"
"ABBN","ABB LTD","Industrials","Equity","49,444,497.70","0.15","49,444,497.70","494,144.00","100.06","Switzerland","SIX Swiss Exchange","USD","0.82","CHF","-"
"WDC","WESTERN DIGITAL CORP","Information Technology","Equity","49,414,327.86","0.15","49,414,327.86","110,258.00","448.17","United States","NASDAQ","USD","1.00","USD","-"
"6501","HITACHI","Industrials","Equity","49,331,012.54","0.15","49,331,012.54","1,406,300.00","35.08","Japan","Tokyo Stock Exchange","USD","157.48","JPY","-"
"COP","CONOCOPHILLIPS","Energy","Equity","49,227,727.77","0.15","49,227,727.77","386,009.00","127.53","United States","NYSE","USD","1.00","USD","-"
"8035","TOKYO ELECTRON","Information Technology","Equity","48,126,985.24","0.14","48,126,985.24","142,700.00","337.26","Japan","Tokyo Stock Exchange","USD","157.48","JPY","-"
"BA","BOEING","Industrials","Equity","47,894,217.30","0.14","47,894,217.30","238,102.00","201.15","United States","NYSE","USD","1.00","USD","-"
